type,extensions,note_numbers
major-ninth,[],"[40, 43, 47, 53]"
major-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[40, 43, 47, 54]"
dominant,[],"[38, 40, 45, 48, 53]"
major-seventh,[],"[38, 40, 45, 48, 53]"
major-seventh,[],"[31, 35, 42, 45, 50]"
major-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[29, 36, 45, 47, 52]"
major-seventh,[],"[39, 40, 44, 47]"
major-seventh,[],"[36, 43, 47, 52]"
major-seventh,[],"[40, 45, 49, 54]"
major-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[41, 45, 47, 52, 55]"
major-seventh,[],"[39, 40, 44, 47]"
major-seventh,[],"[36, 40, 43, 47]"
major-seventh,[],"[37, 40, 44, 47]"
major-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[33, 36, 40, 43, 47]"
major-seventh,[],"[33, 36, 40, 43, 47]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[40, 45, 50, 57, 61, 64]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[39, 44, 49, 56, 60, 63]"
major-seventh,[],"[40, 45, 49, 56, 59]"
major-sixth,[],"[19, 26, 35, 40, 43]"
major-sixth,[],"[17, 24, 33, 38]"
major-sixth,[],"[15, 22, 31, 36, 41]"
major-sixth,[],"[20, 27, 36, 41, 46]"
major-13th,[],"[19, 26, 35, 40, 42, 45]"
minor-seventh,[],"[20, 35, 39]"
minor-seventh,[],"[19, 35, 40]"
minor-seventh,[],"[30, 37, 40, 45]"
major-seventh,[],"[28, 35, 39, 44]"
minor-seventh,[],"[27, 34, 37, 42]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","[20, 30, 36, 41, 45]"
minor,[],"[25, 37, 40]"
diminished-seventh,[],"[24, 36, 39, 40, 44]"
minor,[],"[23, 37, 40]"
dominant,[],"[22, 34, 37, 42]"
dominant-13th,[],"[18, 28, 34, 38, 42]"
major-ninth,[],"[21, 35, 37, 40]"
minor-11th,[],"[34, 37, 44, 48, 51]"
dominant-ninth,[],"[27, 37, 41, 43, 45, 49]"
minor-seventh,[],"[32, 35, 39, 42, 47]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[25, 35, 38, 41, 46]"
minor-ninth,[],"[19, 29, 38, 41, 45]"
dominant-ninth,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[24, 34, 38, 41]"
minor-ninth,[],"[18, 28, 33, 37, 44]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 33, 36, 39, 41]"
major-ninth,[],"[35, 40, 42, 47]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[23, 37, 40]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 36, 39]"
dominant-ninth,[],"[28, 42, 44, 47, 51]"
dominant,[],"[20, 30, 36, 40]"
diminished,[],"[33, 36, 39]"
minor-seventh,[],"[25, 35, 37, 40]"
minor-seventh,[],"[23, 33, 38, 42]"
dominant-ninth,[],"[22, 32, 36, 40, 44]"
major-ninth,[],"[21, 40, 44, 49]"
minor-ninth,[],"[27, 37, 41, 44]"
dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","[20, 30, 36, 41, 44]"
minor-ninth,[],"[40, 44, 49]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[24, 42, 45, 51]"
minor-seventh,[],"[44, 47, 52]"
dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","[34, 49, 51, 54]"
minor-11th,[],"[24, 34, 39, 41, 46]"
dominant,[],"[24, 34, 38, 40]"
dominant,[],"[22, 32, 38, 40]"
major-seventh,[],"[33, 37, 40]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[23, 33, 37, 40, 42]"
minor-ninth,[],"[28, 31, 33, 38, 42]"
major-seventh,[],"[23, 34, 39, 44]"
dominant-ninth,[],"[28, 38, 42, 44]"
minor-seventh,[],"[27, 37, 42, 44]"
dominant,[],"[26, 36, 42]"
minor-seventh,[],"[25, 35, 40, 42]"
dominant,[],"[24, 34, 40, 42]"
major-seventh,[],"[23, 39, 42]"
minor-seventh,[],"[18, 37, 40, 45]"
dominant-13th,[],"[23, 33, 37, 44, 49]"
major-seventh,[],"[28, 35, 39, 44]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[28, 42, 46]"
minor-seventh,[],"[27, 37, 42, 47]"
dominant,[],"[21, 31, 37, 42]"
dominant,[],"[36, 42, 47]"
dominant,[],"[26, 36, 40, 42]"
minor-seventh,[],"[25, 35, 41, 45, 52]"
dominant,[],"[30, 43, 46, 52]"
minor-seventh,[],"[27, 37, 41, 46, 51]"
dominant,[],"[32, 36, 42, 46, 52]"
minor-seventh,[],"[25, 35, 40, 44, 51]"
dominant,[],"[30, 34, 40, 43, 46, 51]"
major-seventh,[],"[23, 42, 46, 51]"
minor-seventh,[],"[40, 44, 49]"
dominant,[],"[39, 44, 47]"
minor-seventh,[],"[25, 44, 47, 52]"
minor-seventh,[],"[30, 40, 44, 49]"
minor-seventh,[],"[42, 49, 52, 57]"
half-diminished,[],"[41, 47, 50, 56]"
minor-seventh,[],"[40, 45, 49, 54]"
minor-seventh,[],"[37, 45, 49, 52]"
major-seventh,[],"[33, 40, 44, 49]"
minor-seventh,[],"[30, 37, 40, 45]"
dominant,[],"[24, 34, 37, 40, 45]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 33, 36, 39, 44]"
major-seventh,[],"[28, 39, 42, 44, 47]"
minor-seventh,[],"[27, 37, 42, 45]"
dominant,[],"[26, 36, 42, 47]"
minor-seventh,[],"[25, 44, 47, 52]"
minor-seventh,[],"[22, 38, 42, 49]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '1', 'type': 'add'}]","[28, 38, 42, 46]"
dominant,[],"[27, 37, 39, 41, 46]"
dominant-ninth,[],"[20, 32, 51]"
major,[],"[20, 32, 51]"
dominant,[],"[13, 25, 53]"
dominant-13th,[],"[13, 25, 53]"
minor-seventh,[],"[25, 44, 47, 54]"
dominant,[],"[30, 40, 47, 54]"
major-seventh,[],"[28, 35, 39, 44]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[28, 42, 46]"
major,[],"[27, 37, 42, 47]"
dominant,[],"[26, 36, 42]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[25, 41, 45, 49]"
dominant,[],"[30, 34, 40, 44, 49]"
dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","[21, 43, 51]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[25, 44, 53]"
dominant-13th,[],"[41, 46, 49]"
minor-seventh,[],"[28, 38, 43, 47, 52]"
dominant-13th,[],"[21, 31, 37, 42, 49]"
dominant,[],"[30, 40, 44, 49]"
major-seventh,[],"[35, 42, 46, 51]"
major-seventh,[],"[34, 39, 42, 47]"
minor-seventh,[],"[32, 39, 42, 47]"
minor-seventh,[],"[30, 42, 46, 51]"
dominant,[],"[29, 35, 41, 44, 49]"
dominant,[],"[28, 38, 42, 46, 49]"
dominant-13th,[],"[26, 36, 42, 44, 47]"
minor-seventh,[],"[25, 40, 42]"
dominant-ninth,[],"[30, 40, 44, 49]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[29, 39, 44, 47]"
minor-seventh,[],"[28, 38, 43, 47]"
minor-seventh,[],"[27, 37, 42, 47]"
minor-seventh,[],"[26, 36, 41, 47]"
minor-seventh,[],"[25, 35, 39, 40, 47]"
dominant-ninth,[],"[24, 34, 38, 40, 47]"
major-seventh,[],"[23, 39, 42, 46]"
minor-11th,[],"[40, 43, 47, 50]"
half-diminished,[],"[35, 40, 43, 47, 55]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[34, 40, 43, 46, 50, 54]"
minor-seventh,[],"[33, 36, 40, 43, 47]"
dominant-ninth,[],"[30, 34, 40, 42, 46]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[34, 40, 45, 52]"
major-sixth,[],"[33, 39, 44, 49, 54]"
augmented-seventh,[],"[33, 39, 43, 47]"
dominant-11th,[],"[33, 38, 42, 45, 49]"
major-sixth,[],"[32, 37, 38, 42, 44]"
dominant,[],"[37, 40, 43, 48]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[36, 42, 46, 53]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[36, 42, 46, 53]"
augmented-seventh,[],"[34, 40, 44, 48, 52, 56]"
augmented-seventh,[],"[34, 40, 44, 48, 52, 56]"
dominant-ninth,[],"[32, 38, 44, 48]"
augmented-seventh,[],"[31, 37, 39, 42, 47, 51]"
major-sixth,[],"[30, 36, 41, 46]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[30, 36, 41, 46]"
minor-ninth,[],"[33, 36, 40, 43, 47]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[36, 42, 47, 51]"
dominant-ninth,[],"[35, 41, 45, 50, 53]"
augmented-seventh,[],"[33, 39, 43, 47, 55]"
minor-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[31, 35, 37, 42, 51]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[34, 40, 46]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[33, 39, 43, 62]"
dominant-11th,[],"[37, 38, 42, 47]"
dominant-ninth,[],"[37, 40, 43, 47]"
major-sixth,[],"[36, 42, 47, 53]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[35, 41, 46, 58]"
major-sixth,[],"[34, 40, 45, 51]"
augmented-seventh,[],"[34, 40, 44, 48]"
dominant-ninth,[],"[33, 40, 43, 50]"
augmented-seventh,[],"[32, 38, 42, 44, 49]"
dominant-13th,[],"[37, 43, 48, 60]"
dominant-ninth,[],"[36, 42, 46, 58]"
major-sixth,[],"[35, 41, 46, 57]"
major-sixth,[],"[34, 40, 45, 52]"
augmented-seventh,[],"[33, 39, 43, 63]"
half-diminished,[],"[37, 38, 41, 53]"
major-sixth,[],"[35, 41, 46, 58]"
augmented-seventh,[],"[33, 39, 43, 55]"
minor-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[31, 37, 42, 54]"
minor-seventh,[],"[30, 35, 40, 45, 45]"
major,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[29, 35, 40, 45, 45]"
minor-seventh,[],"[23, 33, 38, 42]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}]","[27, 28, 38, 41, 44]"
major-ninth,[],"[28, 33, 40, 44, 49]"
dominant-ninth,[],"[28, 42, 45, 50]"
major-ninth,[],"[33, 40, 44, 49]"
dominant-ninth,[],"[28, 42, 45, 47]"
major-seventh,[],"[21, 32, 37, 40, 45]"
minor-seventh,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[25, 35, 42, 44, 47, 52]"
major-seventh,[],"[26, 37, 42, 45]"
dominant-ninth,[],"[32, 36, 46, 48, 54]"
minor-seventh,[],"[25, 35, 44, 49, 52]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}, {'degree': '13', 'alter': '0', 'type': 'add'}]","[24, 34, 40, 45]"
minor-seventh,[],"[23, 33, 37, 38, 42]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[28, 32, 41, 44, 50]"
major-seventh,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","[21, 32, 42, 44, 49]"
dominant-ninth,[],"[27, 37, 40, 43, 49]"
minor-seventh,[],"[25, 39, 42, 44, 47]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[25, 39, 42, 44, 47]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}]","[31, 41, 45, 49]"
minor-seventh,[],"[30, 37, 40, 45]"
dominant,[],"[23, 39, 42]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[39, 41, 44]"
major-seventh,[],"[17, 40, 41, 45]"
minor-seventh,[],"[23, 38, 42]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}]","[28, 38, 41, 44]"
major-seventh,[],"[21, 28, 45]"
major-seventh,[],"[16, 28, 35, 38, 42, 45]"
dominant-ninth,[],"[16, 28, 35, 38, 42, 45]"
dominant-ninth,[],"[24, 34, 38, 40, 45]"
minor-seventh,[],"[23, 33, 38, 42, 47]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[28, 32, 38, 42, 47]"
dominant,[],"[28, 32, 38, 42, 47]"
minor-seventh,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[23, 33, 38, 42, 50]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[28, 32, 38, 41, 49]"
major-seventh,[],"[21, 40, 44, 49]"
minor-seventh,[],"[28, 38, 42, 47]"
dominant-ninth,[],"[16, 38, 42, 47, 47]"
minor-seventh,[],"[23, 33, 38, 42, 50]"
dominant-ninth,[],"[38, 42, 49]"
major-seventh,[],"[21, 32, 40, 44, 49]"
major-seventh,[],"[26, 45, 49, 54]"
minor-seventh,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[25, 42, 44, 47, 52, 54]"
major-seventh,"[{'degree': '13', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[26, 37, 42, 45, 52, 54]"
dominant,[],"[26, 36, 44, 48, 54]"
minor-seventh,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[25, 26, 35, 36, 42, 44, 47, 52, 54]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 34, 43, 46, 52]"
major-seventh,"[{'degree': '13', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[26, 37, 42, 45, 52, 54]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[32, 36, 42, 45, 52, 54]"
minor-seventh,[],"[25, 35, 44, 47, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 34, 43, 46, 49]"
minor,[],"[23, 33, 42, 45, 50]"
suspended-fourth,"[{'degree': '11', 'alter': '1', 'type': 'add'}, {'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[26, 41, 45, 49]"
dominant-ninth,[],"[28, 38, 42, 44, 47]"
major,[],"[21, 40, 44, 49]"
dominant-ninth,[],"[27, 37, 40, 43, 49]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[18, 28, 31, 34, 40]"
minor-seventh,[],"[23, 33, 38, 42, 49]"
major,[],"[39, 40, 44]"
suspended-fourth,[],"[16, 35, 37, 40, 45]"
major,[],"[39, 40, 44]"
suspended-fourth,[],"[16, 35, 37, 40, 45]"
major-seventh,[],"[37, 40, 44, 49]"
minor-seventh,[],"[42, 44, 47]"
minor-seventh,[],"[37, 40, 45]"
minor,[],"[37, 42, 45]"
dominant,[],"[26, 36, 48]"
major,[],"[40, 42, 45]"
dominant,[],"[28, 41, 47]"
major,[],"[41, 45, 52]"
minor-seventh,[],"[30, 40, 42, 45]"
dominant,[],"[28, 38, 42, 47]"
major-seventh,[],"[30, 37, 40, 44, 45]"
minor-seventh,[],"[38, 45, 49, 54]"
minor-seventh,[],"[25, 35, 40, 44]"
minor-seventh,[],"[24, 34, 40, 45]"
major,[],"[23, 33, 38, 42]"
dominant,[],"[28, 38, 38, 42, 45]"
major-seventh,[],"[21, 37, 40, 45]"
minor-seventh,[],"[32, 42, 44, 47, 52]"
major,[],"[30, 40, 45, 49, 54]"
major,[],"[28, 37, 42, 45, 49]"
minor-seventh,[],"[26, 37, 40, 42]"
minor-seventh,[],"[23, 33, 38, 42, 49]"
dominant,[],"[28, 38, 42, 45]"
minor-seventh,[],"[42, 45, 49, 54]"
major-seventh,[],"[33, 37, 44, 47, 52]"
dominant,[],"[27, 38, 42, 47]"
dominant,[],"[28, 38, 42, 47]"
minor-seventh,[],"[42, 45, 49, 54]"
major-seventh,[],"[33, 44, 47, 52]"
dominant,[],"[27, 39, 42, 47]"
major-seventh,[],"[26, 33, 42, 45, 49]"
dominant,[],"[28, 42, 45, 47]"
major-seventh,[],"[21, 28, 37, 45, 52, 57]"
major-seventh,[],"[21, 28, 37, 45, 52, 57]"
minor-ninth,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[20, 35, 38, 42, 46, 61]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '0', 'type': 'add'}]","[25, 35, 38, 41, 46, 55]"
major,[],"[18, 34, 39, 41, 44, 58]"
none,[],"[18, 34, 39, 41, 44, 58]"
minor-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[18, 33, 39, 40, 44, 59]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '0', 'type': 'add'}]","[23, 33, 36, 39, 44, 53]"
major,[],"[16, 32, 37, 39, 42, 56]"
none,[],"[16, 32, 37, 39, 42, 56]"
minor-ninth,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[16, 31, 34, 38, 42, 55]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '0', 'type': 'add'}]","[21, 31, 34, 37, 42, 55]"
major,[],"[14, 35, 37, 40, 42, 66]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[19, 35, 40, 42, 45, 66]"
minor-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[20, 35, 41, 42, 46, 61]"
major,[],"[25, 35, 39, 41, 46, 61]"
major,[],"[26, 37, 40, 42, 47, 61]"
minor-ninth,[],"[32, 35, 39, 42, 46, 61]"
major,[],"[32, 35, 39, 42, 46, 61]"
minor-seventh,[],"[25, 35, 40, 47, 52]"
dominant,[],"[30, 40, 52]"
major-seventh,[],"[23, 34, 39, 46, 51]"
major-seventh,[],"[28, 39, 51]"
half-diminished,[],"[22, 32, 37, 44, 49]"
dominant,[],"[27, 37, 49]"
minor,[],"[20, 35, 42, 47]"
minor,[],"[20, 35, 44]"
half-diminished,[],"[22, 32, 46]"
minor-seventh,[],"[20, 30, 39, 47]"
minor-seventh,[],"[25, 35, 40, 49]"
major-seventh,[],"[23, 34, 39, 46, 51]"
half-diminished,[],"[22, 32, 52]"
dominant,[],"[27, 37, 43, 46]"
minor-seventh,[],"[27, 35, 44, 51]"
dominant,[],"[25, 35, 41, 51]"
minor-seventh,[],"[25, 33, 40, 49]"
dominant,[],"[23, 33, 39, 49]"
half-diminished,[],"[22, 32, 37, 44, 49]"
dominant,[],"[27, 37, 39, 46]"
minor-seventh,[],"[20, 30, 35, 44]"
major-seventh,[],"[31, 42, 45, 49]"
dominant-13th,[],"[23, 39, 43, 47]"
dominant-ninth,[],"[33, 39, 43]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[33, 43, 47, 50, 52]"
minor-sixth,[],"[31, 40, 46, 50, 55]"
minor-seventh,[],"[30, 40, 49, 52, 57]"
diminished-seventh,[],"[29, 38, 50, 53, 55, 61]"
minor-ninth,[],"[28, 38, 49, 54, 57]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[33, 43, 47, 52, 57]"
minor-seventh,[],"[30, 40, 49, 52, 57]"
diminished-seventh,[],"[29, 38, 61, 64]"
minor-seventh,[],"[28, 38, 54, 57]"
dominant,[],"[21, 31, 48, 51]"
major-ninth,[],"[26, 38, 40, 42, 45]"
major,[],"[20, 41, 46, 50]"
major-seventh,[],"[19, 40, 45, 49]"
minor-seventh,[],"[18, 39, 44, 47]"
dominant-13th,[],"[23, 33, 39, 44, 47]"
dominant-ninth,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[39, 43, 47]"
dominant-ninth,[],"[39, 42, 47]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[33, 43, 47, 50, 52]"
minor-sixth,[],"[31, 40, 46, 50, 55]"
minor-seventh,[],"[33, 43, 48, 52, 57]"
dominant,[],"[38, 48, 54, 57, 64]"
major-seventh,[],"[31, 42, 47, 52]"
diminished,[],"[31, 41, 50, 53, 61]"
major-seventh,[],"[21, 30, 37, 42, 45]"
dominant,[],"[32, 38, 42, 47, 52]"
dominant,[],"[37, 43, 47, 52, 57]"
dominant,[],"[32, 38, 42, 47, 52]"
dominant,[],"[39, 45, 49, 54, 59]"
dominant,[],"[37, 43, 47, 52, 57]"
dominant,[],"[32, 38, 42, 47, 52]"
dominant-13th,[],"[34, 38, 40, 45, 48]"
dominant-13th,[],"[33, 39, 43, 47, 50]"
major-seventh,[],"[43, 50, 53, 58]"
dominant,[],"[40, 44, 46, 51, 54]"
major-seventh,[],"[39, 44, 46, 51]"
dominant,[],"[36, 40, 42, 47]"
major-seventh,[],"[35, 42, 45, 50]"
minor-seventh,[],"[35, 40, 44, 51]"
dominant,[],"[34, 40, 44, 49]"
major-seventh,[],"[44, 46, 51, 54]"
dominant,[],"[36, 40, 42, 47, 50]"
major-seventh,[],"[35, 40, 42, 47]"
dominant,[],"[32, 36, 38, 43]"
major-seventh,[],"[38, 41, 43, 46]"
minor-seventh,[],"[36, 40, 43, 47]"
dominant,[],"[36, 40, 42, 45]"
major-seventh,[],"[35, 42, 45, 50]"
minor-seventh,[],"[35, 40, 44, 51]"
dominant,[],"[34, 40, 44, 49]"
major-seventh,[],"[39, 44, 46, 49, 54]"
minor-seventh,[],"[39, 44, 48, 55]"
dominant,[],"[38, 44, 48, 55]"
major-seventh,[],"[43, 50, 53, 58]"
minor-seventh,[],"[36, 40, 43, 47, 52, 59]"
dominant,[],"[36, 40, 42, 47, 52, 59]"
major-seventh,[],"[35, 38, 42, 45, 50, 57, 62]"
minor-seventh,[],"[32, 39, 43, 46, 53, 58]"
dominant,[],"[32, 38, 43, 46, 53, 58]"
major-seventh,[],"[34, 38, 41, 51]"
major-seventh,[],"[35, 40, 45, 48]"
minor-seventh,[],"[35, 39, 40, 44, 51]"
major-seventh,[],"[23, 34, 39]"
dominant,[],"[26, 33, 36, 50]"
major-seventh,[],"[35, 38, 42, 45, 55]"
minor-seventh,[],"[36, 40, 43, 50]"
major-seventh,[],"[19, 26, 31, 43]"
minor-seventh,[],"[35, 39, 40, 44, 51]"
major-seventh,[],"[23, 34, 42]"
minor-seventh,[],"[32, 36, 39, 43, 44]"
minor-seventh,[],"[32, 36, 39, 43, 55]"
dominant,[],"[34, 40, 44, 46]"
major-seventh,[],"[35, 40, 45, 47]"
dominant,[],"[38, 41, 44, 50]"
major-seventh,[],"[35, 38, 42, 43]"
minor-seventh,[],"[51, 52, 56, 59, 63]"
dominant,[],"[50, 52, 55, 58, 62]"
major-seventh,[],"[49, 51, 54, 58, 61]"
minor-seventh,[],"[43, 44, 48, 51, 55]"
dominant,[],"[43, 44, 48, 51, 55]"
major-seventh,[],"[46, 50, 53, 55, 58]"
major-seventh,[],"[43, 50, 53, 58]"
dominant,[],"[40, 44, 46, 51, 54]"
major-seventh,[],"[39, 44, 46, 51]"
dominant,[],"[36, 40, 42, 47]"
major-seventh,[],"[35, 42, 45, 50]"
minor-seventh,[],"[35, 40, 44, 51]"
dominant,[],"[34, 40, 44, 49]"
major-seventh,[],"[44, 46, 51, 54]"
dominant,[],"[36, 40, 42, 47, 50]"
major-seventh,[],"[35, 40, 42, 47]"
dominant,[],"[32, 36, 38, 43]"
major-seventh,[],"[38, 41, 43, 46]"
minor-seventh,[],"[36, 40, 43, 47]"
dominant,[],"[36, 40, 42, 45]"
major-seventh,[],"[35, 42, 45, 50]"
minor-seventh,[],"[35, 40, 44, 51]"
dominant,[],"[34, 40, 44, 49]"
major-seventh,[],"[39, 44, 46, 49, 54]"
minor-seventh,[],"[39, 44, 48, 55]"
dominant,[],"[38, 44, 48, 55]"
major-seventh,[],"[43, 50, 53, 58]"
minor-seventh,[],"[36, 40, 43, 47, 52, 59]"
dominant,[],"[36, 40, 42, 47, 52, 59]"
major-seventh,[],"[35, 38, 42, 45, 50, 57, 62]"
dominant,[],"[24, 36, 40, 40, 43, 46]"
minor,[],"[23, 47, 50, 50, 54]"
dominant,[],"[24, 36, 40, 40, 43, 46]"
minor,[],"[23, 47, 50, 51, 54]"
dominant,[],"[24, 36, 40, 40, 43, 46]"
minor,[],"[23, 47, 50, 50, 54]"
half-diminished,[],"[25, 37, 40, 43, 47, 51]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[30, 42, 45, 46, 48, 52]"
minor,[],"[23, 44, 47, 50, 54]"
dominant,[],"[24, 36, 40, 40, 43, 46]"
minor,[],"[23, 47, 50, 50, 54]"
dominant,[],"[24, 36, 40, 40, 43, 46]"
minor,[],"[23, 47, 50, 51, 54]"
minor,[],"[23, 47, 50, 50, 54]"
half-diminished,[],"[25, 37, 40, 43, 47, 51]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[30, 42, 45, 46, 48, 52]"
minor,[],"[23, 44, 47, 50, 54]"
half-diminished,[],"[30, 42, 45, 48, 52, 54]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 47, 51, 54, 57, 57, 60]"
minor,[],"[28, 40, 43, 47, 52]"
half-diminished,[],"[28, 40, 43, 46, 50, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[21, 45, 49, 52, 55, 55, 58]"
major-sixth,[],"[26, 38, 42, 45, 47, 51]"
half-diminished,[],"[25, 37, 40, 43, 46, 47]"
dominant,[],"[24, 36, 40, 40, 43, 46]"
minor,[],"[23, 47, 50, 50, 54]"
dominant,[],"[24, 36, 40, 40, 43, 46]"
minor,[],"[23, 47, 50, 51, 54]"
dominant,[],"[24, 36, 40, 40, 43, 46]"
minor,[],"[23, 47, 50, 50, 54]"
half-diminished,[],"[25, 37, 40, 43, 47, 51]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[30, 42, 45, 46, 48, 52]"
minor,[],"[23, 44, 47, 50, 54]"
major,[],"[28, 35, 46, 54]"
