type,extensions,note_numbers
minor-seventh,[],"[24, 34, 39, 43, 46, 51]"
minor-11th,[],"[22, 32, 37, 41, 44, 48, 51]"
minor-11th,[],"[21, 31, 36, 40, 43, 47, 50]"
dominant,[],"[26, 36, 40, 42, 50]"
minor-seventh,[],"[19, 29, 34, 38, 41, 46]"
minor-11th,[],"[17, 32, 36, 39, 43, 46]"
minor-11th,[],"[16, 31, 35, 38, 42, 45]"
dominant,[],"[21, 31, 35, 37, 40, 42, 45]"
minor-11th,[],"[26, 36, 41, 45, 48, 52, 55]"
dominant,[],"[31, 41, 45, 47, 50, 52, 55]"
minor-11th,[],"[24, 34, 39, 43, 46, 50, 53]"
dominant,[],"[29, 39, 43, 45, 50, 53]"
minor-11th,[],"[22, 32, 37, 41, 44, 48, 51]"
dominant,[],"[27, 37, 41, 43, 48, 51]"
minor-11th,[],"[21, 31, 36, 40, 43, 47, 50]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[39, 44, 48, 50]"
minor-seventh,[],"[18, 30, 38]"
half-diminished,[],"[28, 34, 38, 43]"
half-diminished,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[21, 31, 36, 39, 43, 50]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[26, 36, 39, 44, 48]"
minor-seventh,[],"[38, 41, 46]"
dominant,[],"[40, 45, 52, 53]"
minor-seventh,[],"[27, 37, 42, 49]"
dominant,[],"[36, 41, 48]"
minor-seventh,[],"[26, 36, 41, 48]"
dominant,[],"[19, 29, 35, 40, 47]"
dominant-13th,[],"[45, 51, 57, 58]"
major-seventh,[],"[22, 33, 38, 43, 50]"
half-diminished,[],"[28, 34, 38, 43, 46]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[27, 31, 37, 41, 45]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[26, 36, 39, 45]"
minor-seventh,[],"[19, 26, 33, 34, 40, 43]"
major-minor,[],"[31, 40, 46, 57, 66]"
major-seventh,[],"[16, 35, 39, 44]"
major-seventh,[],"[23, 33, 37, 40, 44]"
major-seventh,[],"[23, 37, 40, 47]"
major-seventh,[],"[23, 37, 40, 47]"
major-sixth,[],"[16, 28, 32, 37, 42]"
major-seventh,[],"[23, 28, 33, 35]"
major-sixth,[],"[16, 32, 37, 42]"
major,[],"[33, 37, 40, 44]"
major-seventh,[],"[16, 39, 42, 44, 47]"
minor-seventh,[],"[16, 39, 42, 44, 47]"
minor-seventh,[],"[16, 35, 39, 42, 47]"
minor-seventh,[],"[11, 37, 40, 44]"
minor-seventh,[],"[20, 39, 42, 47, 51]"
minor-seventh,[],"[19, 38, 41, 46]"
minor-seventh,[],"[18, 37, 40, 42, 45]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[23, 33, 42, 45, 49, 52]"
dominant-ninth,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","[23, 33, 39, 43, 49]"
dominant-ninth,[],"[39, 40, 44, 47]"
dominant,[],"[20, 30, 36, 40, 44]"
minor-seventh,[],"[20, 39, 42, 47, 51]"
minor-ninth,[],"[25, 35, 39, 40, 44, 47]"
minor-ninth,[],"[20, 30, 39, 42, 47]"
minor-ninth,[],"[19, 29, 38, 41, 46]"
minor-seventh,[],"[18, 37, 40, 45]"
major-seventh,[],"[16, 35, 39, 44]"
dominant,[],"[20, 30, 44, 48, 52, 56]"
minor-seventh,[],"[25, 39, 40]"
minor-seventh,[],"[20, 39, 42, 47, 51]"
minor-ninth,[],"[25, 35, 39, 40, 44, 47]"
dominant-ninth,[],"[18, 40, 44, 46, 49]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[20, 39, 42, 46, 49]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[22, 32, 48, 51, 56]"
major-seventh,[],"[23, 45, 49, 54]"
major-seventh,[],"[23, 45, 45, 49, 49, 54]"
minor-seventh,[],"[20, 39, 42, 47, 51]"
minor-ninth,[],"[25, 35, 39, 40, 44, 47]"
minor-ninth,[],"[20, 30, 39, 42, 47]"
minor-ninth,[],"[19, 29, 38, 41, 46]"
minor-seventh,[],"[18, 37, 40, 45]"
minor-seventh,[],"[23, 33, 52]"
major-seventh,[],"[16, 35, 39, 44]"
dominant,[],"[20, 30, 44, 48, 52, 56]"
minor-seventh,[],"[25, 39, 40]"
minor-seventh,[],"[20, 51, 54, 59]"
dominant-ninth,[],"[18, 40, 44, 46, 49]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[20, 39, 42, 46, 49]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[22, 32, 48, 51, 56]"
major-seventh,[],"[23, 45, 49, 54]"
major-seventh,[],"[16, 35, 39, 44]"
major-seventh,[],"[23, 33, 37, 40, 44]"
major-seventh,[],"[16, 32, 37, 42]"
major-seventh,[],"[23, 33, 37, 40, 44]"
major-seventh,[],"[16, 35, 39, 44]"
major-seventh,[],"[23, 33, 37, 40, 44]"
major-seventh,[],"[16, 32, 37, 42]"
major-seventh,[],"[23, 33, 37, 40, 44]"
minor,[],"[25, 32, 40, 52]"
major,[],"[21, 52, 57]"
major,[],"[23, 44, 52]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[23, 30, 40, 45, 49]"
major,[],"[16, 44, 47]"
major,[],"[22, 46, 49, 54]"
major-seventh,[],"[21, 46, 54]"
major,[],"[20, 40, 44, 47, 52]"
major,[],"[24, 40, 47]"
minor-seventh,[],"[21, 36, 45]"
suspended-fourth,[],"[26, 42, 45]"
major-seventh,[],"[23, 44, 47]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[23, 45, 49]"
major,[],"[28, 44, 47]"
major-seventh,[],"[23, 34, 39, 44]"
dominant-ninth,[],"[28, 38, 42, 44]"
minor-seventh,[],"[27, 37, 42, 44]"
