root,type,extensions,notes,note_numbers
G,dominant,[],"['G2', 'B3', 'D4']","[23, 39, 42]"
G,dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['B3', 'C#4', 'E4']","[39, 41, 44]"
Db,major-seventh,[],"['Db2', 'C4', 'Db4', 'F4']","[17, 40, 41, 45]"
G,minor-seventh,[],"['G2', 'Bb3', 'D4']","[23, 38, 42]"
C,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}]","['C3', 'Bb3', 'Db4', 'E4']","[28, 38, 41, 44]"
F,major-seventh,[],"['F2', 'C3', 'F4']","[21, 28, 45]"
F,major-seventh,[],"['C2', 'C3', 'G3', 'Bb3', 'D4', 'F4']","[16, 28, 35, 38, 42, 45]"
C,dominant-ninth,[],"['C2', 'C3', 'G3', 'Bb3', 'D4', 'F4']","[16, 28, 35, 38, 42, 45]"
Ab,dominant-ninth,[],"['Ab2', 'Gb3', 'Bb3', 'C4', 'F4']","[24, 34, 38, 40, 45]"
G,minor-seventh,[],"['G2', 'F3', 'Bb3', 'D4', 'G4']","[23, 33, 38, 42, 47]"
C,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['C3', 'E3', 'Bb3', 'D4', 'G4']","[28, 32, 38, 42, 47]"
C,dominant,[],"['C3', 'E3', 'Bb3', 'D4', 'G4']","[28, 32, 38, 42, 47]"
G,minor-seventh,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","['G2', 'F3', 'Bb3', 'D4', 'Bb4']","[23, 33, 38, 42, 50]"
C,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['C3', 'E3', 'Bb3', 'C#4', 'A4']","[28, 32, 38, 41, 49]"
F,major-seventh,[],"['F2', 'C4', 'E4', 'A4']","[21, 40, 44, 49]"
G,minor-seventh,[],"['C3', 'Bb3', 'D4', 'G4']","[28, 38, 42, 47]"
C,dominant-ninth,[],"['C2', 'Bb3', 'D4', 'G4', 'G4']","[16, 38, 42, 47, 47]"
G,minor-seventh,[],"['G2', 'F3', 'Bb3', 'D4', 'Bb4']","[23, 33, 38, 42, 50]"
C,dominant-ninth,[],"['Bb3', 'D4', 'A4']","[38, 42, 49]"
F,major-seventh,[],"['F2', 'E3', 'C4', 'E4', 'A4']","[21, 32, 40, 44, 49]"
Bb,major-seventh,[],"['Bb2', 'F4', 'A4', 'D5']","[26, 45, 49, 54]"
A,minor-seventh,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","['A2', 'D4', 'E4', 'G4', 'C5', 'D5']","[25, 42, 44, 47, 52, 54]"
Bb,major-seventh,"[{'degree': '13', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['Bb2', 'A3', 'D4', 'F4', 'C5', 'D5']","[26, 37, 42, 45, 52, 54]"
Bb,dominant,[],"['Bb2', 'Ab3', 'E4', 'Ab4', 'D5']","[26, 36, 44, 48, 54]"
A,minor-seventh,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","['A2', 'Bb2', 'G3', 'Ab3', 'D4', 'E4', 'G4', 'C5', 'D5']","[25, 26, 35, 36, 42, 44, 47, 52, 54]"
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['D3', 'F#3', 'Eb4', 'F#4', 'C5']","[30, 34, 43, 46, 52]"
Bb,major-seventh,"[{'degree': '13', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['Bb2', 'A3', 'D4', 'F4', 'C5', 'D5']","[26, 37, 42, 45, 52, 54]"
E,dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['E3', 'Ab3', 'D4', 'F4', 'C5', 'D5']","[32, 36, 42, 45, 52, 54]"
A,minor-seventh,[],"['A2', 'G3', 'E4', 'G4', 'C5']","[25, 35, 44, 47, 52]"
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['D3', 'F#3', 'Eb4', 'F#4', 'A4']","[30, 34, 43, 46, 49]"
G,minor,[],"['G2', 'F3', 'D4', 'F4', 'Bb4']","[23, 33, 42, 45, 50]"
B,suspended-fourth,"[{'degree': '11', 'alter': '1', 'type': 'add'}, {'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['Bb2', 'C#4', 'F4', 'A4']","[26, 41, 45, 49]"
C,dominant-ninth,[],"['C3', 'Bb3', 'D4', 'E4', 'G4']","[28, 38, 42, 44, 47]"
F,major,[],"['F2', 'C4', 'E4', 'A4']","[21, 40, 44, 49]"
B,dominant-ninth,[],"['B2', 'A3', 'C4', 'Eb4', 'A4']","[27, 37, 40, 43, 49]"
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['D2', 'C3', 'Eb3', 'F#3', 'C4']","[18, 28, 31, 34, 40]"
G,minor-seventh,[],"['G2', 'F3', 'Bb3', 'D4', 'A4']","[23, 33, 38, 42, 49]"
C,major,[],"['B3', 'C4', 'E4']","[39, 40, 44]"
C,suspended-fourth,[],"['C2', 'G3', 'A3', 'C4', 'F4']","[16, 35, 37, 40, 45]"
C,major,[],"['B3', 'C4', 'E4']","[39, 40, 44]"
C,suspended-fourth,[],"['C2', 'G3', 'A3', 'C4', 'F4']","[16, 35, 37, 40, 45]"
F,major-seventh,[],"['A3', 'C4', 'E4', 'A4']","[37, 40, 44, 49]"
E,minor-seventh,[],"['D4', 'E4', 'G4']","[42, 44, 47]"
D,minor-seventh,[],"['A3', 'C4', 'F4']","[37, 40, 45]"
D,minor,[],"['A3', 'D4', 'F4']","[37, 42, 45]"
Bb,dominant,[],"['Bb2', 'Ab3', 'Ab4']","[26, 36, 48]"
F,major,[],"['C4', 'D4', 'F4']","[40, 42, 45]"
C,dominant,[],"['C3', 'C#4', 'G4']","[28, 41, 47]"
A,major,[],"['C#4', 'F4', 'C5']","[41, 45, 52]"
D,minor-seventh,[],"['D3', 'C4', 'D4', 'F4']","[30, 40, 42, 45]"
C,dominant,[],"['C3', 'Bb3', 'D4', 'G4']","[28, 38, 42, 47]"
F,major-seventh,[],"['D3', 'A3', 'C4', 'E4', 'F4']","[30, 37, 40, 44, 45]"
G,minor-seventh,[],"['Bb3', 'F4', 'A4', 'D5']","[38, 45, 49, 54]"
A,minor-seventh,[],"['A2', 'G3', 'C4', 'E4']","[25, 35, 40, 44]"
Ab,minor-seventh,[],"['Ab2', 'Gb3', 'C4', 'F4']","[24, 34, 40, 45]"
Bb,major,[],"['G2', 'F3', 'Bb3', 'D4']","[23, 33, 38, 42]"
C,dominant,[],"['C3', 'Bb3', 'Bb3', 'D4', 'F4']","[28, 38, 38, 42, 45]"
F,major-seventh,[],"['F2', 'A3', 'C4', 'F4']","[21, 37, 40, 45]"
E,minor-seventh,[],"['E3', 'D4', 'E4', 'G4', 'C5']","[32, 42, 44, 47, 52]"
Bb,major,[],"['D3', 'C4', 'F4', 'A4', 'D5']","[30, 40, 45, 49, 54]"
Bb,major,[],"['C3', 'A3', 'D4', 'F4', 'A4']","[28, 37, 42, 45, 49]"
Bb,minor-seventh,[],"['Bb2', 'A3', 'C4', 'D4']","[26, 37, 40, 42]"
G,minor-seventh,[],"['G2', 'F3', 'Bb3', 'D4', 'A4']","[23, 33, 38, 42, 49]"
C,dominant,[],"['C3', 'Bb3', 'D4', 'F4']","[28, 38, 42, 45]"
D,minor-seventh,[],"['D4', 'F4', 'A4', 'D5']","[42, 45, 49, 54]"
F,major-seventh,[],"['F3', 'A3', 'E4', 'G4', 'C5']","[33, 37, 44, 47, 52]"
Bb,dominant,[],"['B2', 'Bb3', 'D4', 'G4']","[27, 38, 42, 47]"
C,dominant,[],"['C3', 'Bb3', 'D4', 'G4']","[28, 38, 42, 47]"
D,minor-seventh,[],"['D4', 'F4', 'A4', 'D5']","[42, 45, 49, 54]"
F,major-seventh,[],"['F3', 'E4', 'G4', 'C5']","[33, 44, 47, 52]"
Bb,dominant,[],"['B2', 'B3', 'D4', 'G4']","[27, 39, 42, 47]"
Bb,major-seventh,[],"['Bb2', 'F3', 'D4', 'F4', 'A4']","[26, 33, 42, 45, 49]"
C,dominant,[],"['C3', 'D4', 'F4', 'G4']","[28, 42, 45, 47]"
F,major-seventh,[],"['F2', 'C3', 'A3', 'F4', 'C5', 'F5']","[21, 28, 37, 45, 52, 57]"
F,major-seventh,[],"['F2', 'C3', 'A3', 'F4', 'C5', 'F5']","[21, 28, 37, 45, 52, 57]"
E,minor-ninth,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['E2', 'G3', 'Bb3', 'D4', 'F#4', 'A5']","[20, 35, 38, 42, 46, 61]"
A,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '0', 'type': 'add'}]","['A2', 'G3', 'Bb3', 'C#4', 'F#4', 'Eb5']","[25, 35, 38, 41, 46, 55]"
D,major,[],"['D2', 'F#3', 'B3', 'C#4', 'E4', 'F#5']","[18, 34, 39, 41, 44, 58]"
C,none,[],"['D2', 'F#3', 'B3', 'C#4', 'E4', 'F#5']","[18, 34, 39, 41, 44, 58]"
D,minor-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['D2', 'F3', 'B3', 'C4', 'E4', 'G5']","[18, 33, 39, 40, 44, 59]"
G,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '0', 'type': 'add'}]","['G2', 'F3', 'Ab3', 'B3', 'E4', 'C#5']","[23, 33, 36, 39, 44, 53]"
C,major,[],"['C2', 'E3', 'A3', 'B3', 'D4', 'E5']","[16, 32, 37, 39, 42, 56]"
C,none,[],"['C2', 'E3', 'A3', 'B3', 'D4', 'E5']","[16, 32, 37, 39, 42, 56]"
C,minor-ninth,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['C2', 'Eb3', 'Gb3', 'Bb3', 'D4', 'Eb5']","[16, 31, 34, 38, 42, 55]"
F,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '0', 'type': 'add'}]","['F2', 'Eb3', 'Gb3', 'A3', 'D4', 'Eb5']","[21, 31, 34, 37, 42, 55]"
Bb,major,[],"['Bb1', 'G3', 'A3', 'C4', 'D4', 'D6']","[14, 35, 37, 40, 42, 66]"
Eb,major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['Eb2', 'G3', 'C4', 'D4', 'F4', 'D6']","[19, 35, 40, 42, 45, 66]"
E,minor-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['E2', 'G3', 'C#4', 'D4', 'F#4', 'A5']","[20, 35, 41, 42, 46, 61]"
A,major,[],"['A2', 'G3', 'B3', 'C#4', 'F#4', 'A5']","[25, 35, 39, 41, 46, 61]"
Bb,major,[],"['Bb2', 'A3', 'C4', 'D4', 'G4', 'A5']","[26, 37, 40, 42, 47, 61]"
E,minor-ninth,[],"['E3', 'G3', 'B3', 'D4', 'F#4', 'A5']","[32, 35, 39, 42, 46, 61]"
A,major,[],"['E3', 'G3', 'B3', 'D4', 'F#4', 'A5']","[32, 35, 39, 42, 46, 61]"
A,minor-seventh,[],"['A2', 'G3', 'C4', 'G4', 'C5']","[25, 35, 40, 47, 52]"
D,dominant,[],"['D3', 'C4', 'C5']","[30, 40, 52]"
G,major-seventh,[],"['G2', 'F#3', 'B3', 'F#4', 'B4']","[23, 34, 39, 46, 51]"
C,major-seventh,[],"['C3', 'B3', 'B4']","[28, 39, 51]"
F#,half-diminished,[],"['F#2', 'E3', 'A3', 'E4', 'A4']","[22, 32, 37, 44, 49]"
B,dominant,[],"['B2', 'A3', 'A4']","[27, 37, 49]"
E,minor,[],"['E2', 'G3', 'D4', 'G4']","[20, 35, 42, 47]"
E,minor,[],"['E2', 'G3', 'E4']","[20, 35, 44]"
F#,half-diminished,[],"['F#2', 'E3', 'F#4']","[22, 32, 46]"
E,minor-seventh,[],"['E2', 'D3', 'B3', 'G4']","[20, 30, 39, 47]"
A,minor-seventh,[],"['A2', 'G3', 'C4', 'A4']","[25, 35, 40, 49]"
G,major-seventh,[],"['G2', 'F#3', 'B3', 'F#4', 'B4']","[23, 34, 39, 46, 51]"
F#,half-diminished,[],"['F#2', 'E3', 'C5']","[22, 32, 52]"
B,dominant,[],"['B2', 'A3', 'D#4', 'F#4']","[27, 37, 43, 46]"
E,minor-seventh,[],"['B2', 'G3', 'E4', 'B4']","[27, 35, 44, 51]"
A,dominant,[],"['A2', 'G3', 'C#4', 'B4']","[25, 35, 41, 51]"
D,minor-seventh,[],"['A2', 'F3', 'C4', 'A4']","[25, 33, 40, 49]"
G,dominant,[],"['G2', 'F3', 'B3', 'A4']","[23, 33, 39, 49]"
F#,half-diminished,[],"['F#2', 'E3', 'A3', 'E4', 'A4']","[22, 32, 37, 44, 49]"
B,dominant,[],"['B2', 'A3', 'B3', 'F#4']","[27, 37, 39, 46]"
E,minor-seventh,[],"['E2', 'D3', 'G3', 'E4']","[20, 30, 35, 44]"
Eb,major-seventh,[],"['Eb3', 'D4', 'F4', 'A4']","[31, 42, 45, 49]"
G,dominant-13th,[],"['G2', 'B3', 'Eb4', 'G4']","[23, 39, 43, 47]"
G,dominant-ninth,[],"['F3', 'B3', 'Eb4']","[33, 39, 43]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F3', 'Eb4', 'G4', 'Bb4', 'C5']","[33, 43, 47, 50, 52]"
Eb,minor-sixth,[],"['Eb3', 'C4', 'Gb4', 'Bb4', 'Eb5']","[31, 40, 46, 50, 55]"
D,minor-seventh,[],"['D3', 'C4', 'A4', 'C5', 'F5']","[30, 40, 49, 52, 57]"
Db,diminished-seventh,[],"['Db3', 'Bb3', 'Bb4', 'Db5', 'Eb5', 'A5']","[29, 38, 50, 53, 55, 61]"
C,minor-ninth,[],"['C3', 'Bb3', 'A4', 'D5', 'F5']","[28, 38, 49, 54, 57]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F3', 'Eb4', 'G4', 'C5', 'F5']","[33, 43, 47, 52, 57]"
D,minor-seventh,[],"['D3', 'C4', 'A4', 'C5', 'F5']","[30, 40, 49, 52, 57]"
Db,diminished-seventh,[],"['Db3', 'Bb3', 'A5', 'C6']","[29, 38, 61, 64]"
C,minor-seventh,[],"['C3', 'Bb3', 'D5', 'F5']","[28, 38, 54, 57]"
F,dominant,[],"['F2', 'Eb3', 'G#4', 'B4']","[21, 31, 48, 51]"
Bb,major-ninth,[],"['Bb2', 'Bb3', 'C4', 'D4', 'F4']","[26, 38, 40, 42, 45]"
Gb,major,[],"['E2', 'Db4', 'Gb4', 'Bb4']","[20, 41, 46, 50]"
Eb,major-seventh,[],"['Eb2', 'C4', 'F4', 'A4']","[19, 40, 45, 49]"
E,minor-seventh,[],"['D2', 'B3', 'E4', 'G4']","[18, 39, 44, 47]"
G,dominant-13th,[],"['G2', 'F3', 'B3', 'E4', 'G4']","[23, 33, 39, 44, 47]"
G,dominant-ninth,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","['B3', 'Eb4', 'G4']","[39, 43, 47]"
G,dominant-ninth,[],"['B3', 'D4', 'G4']","[39, 42, 47]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F3', 'Eb4', 'G4', 'Bb4', 'C5']","[33, 43, 47, 50, 52]"
Eb,minor-sixth,[],"['Eb3', 'C4', 'Gb4', 'Bb4', 'Eb5']","[31, 40, 46, 50, 55]"
F,minor-seventh,[],"['F3', 'Eb4', 'Ab4', 'C5', 'F5']","[33, 43, 48, 52, 57]"
Bb,dominant,[],"['Bb3', 'Ab4', 'D5', 'F5', 'C6']","[38, 48, 54, 57, 64]"
Eb,major-seventh,[],"['Eb3', 'D4', 'G4', 'C5']","[31, 42, 47, 52]"
E,diminished,[],"['Eb3', 'Db4', 'Bb4', 'Db5', 'A5']","[31, 41, 50, 53, 61]"
B,major-seventh,[],"['F2', 'D3', 'A3', 'D4', 'F4']","[21, 30, 37, 42, 45]"
C,dominant,[],"['E3', 'Bb3', 'D4', 'G4', 'C5']","[32, 38, 42, 47, 52]"
F,dominant,[],"['A3', 'Eb4', 'G4', 'C5', 'F5']","[37, 43, 47, 52, 57]"
C,dominant,[],"['E3', 'Bb3', 'D4', 'G4', 'C5']","[32, 38, 42, 47, 52]"
G,dominant,[],"['B3', 'F4', 'A4', 'D5', 'G5']","[39, 45, 49, 54, 59]"
F,dominant,[],"['A3', 'Eb4', 'G4', 'C5', 'F5']","[37, 43, 47, 52, 57]"
C,dominant,[],"['E3', 'Bb3', 'D4', 'G4', 'C5']","[32, 38, 42, 47, 52]"
Ab,dominant-13th,[],"['Gb3', 'Bb3', 'C4', 'F4', 'Ab4']","[34, 38, 40, 45, 48]"
Db,dominant-13th,[],"['F3', 'Cb4', 'Eb4', 'G4', 'Bb4']","[33, 39, 43, 47, 50]"
B,major-seventh,[],"['D#4', 'A#4', 'C#5', 'F#5']","[43, 50, 53, 58]"
D,dominant,[],"['C4', 'E4', 'F#4', 'B4', 'D5']","[40, 44, 46, 51, 54]"
G,major-seventh,[],"['B3', 'E4', 'F#4', 'B4']","[39, 44, 46, 51]"
Bb,dominant,[],"['Ab3', 'C4', 'D4', 'G4']","[36, 40, 42, 47]"
Eb,major-seventh,[],"['G3', 'D4', 'F4', 'Bb4']","[35, 42, 45, 50]"
A,minor-seventh,[],"['G3', 'C4', 'E4', 'B4']","[35, 40, 44, 51]"
D,dominant,[],"['F#3', 'C4', 'E4', 'A4']","[34, 40, 44, 49]"
G,major-seventh,[],"['E4', 'F#4', 'B4', 'D5']","[44, 46, 51, 54]"
Bb,dominant,[],"['Ab3', 'C4', 'D4', 'G4', 'Bb4']","[36, 40, 42, 47, 50]"
Eb,major-seventh,[],"['G3', 'C4', 'D4', 'G4']","[35, 40, 42, 47]"
F#,dominant,[],"['E3', 'G#3', 'A#3', 'Eb4']","[32, 36, 38, 43]"
B,major-seventh,[],"['A#3', 'C#4', 'D#4', 'F#4']","[38, 41, 43, 46]"
F,minor-seventh,[],"['Ab3', 'C4', 'Eb4', 'G4']","[36, 40, 43, 47]"
Bb,dominant,[],"['Ab3', 'C4', 'D4', 'F4']","[36, 40, 42, 45]"
Eb,major-seventh,[],"['G3', 'D4', 'F4', 'Bb4']","[35, 42, 45, 50]"
A,minor-seventh,[],"['G3', 'C4', 'E4', 'B4']","[35, 40, 44, 51]"
D,dominant,[],"['F#3', 'C4', 'E4', 'A4']","[34, 40, 44, 49]"
G,major-seventh,[],"['B3', 'E4', 'F#4', 'A4', 'D5']","[39, 44, 46, 49, 54]"
C#,minor-seventh,[],"['B3', 'E4', 'G#4', 'D#5']","[39, 44, 48, 55]"
F#,dominant,[],"['A#3', 'E4', 'G#4', 'D#5']","[38, 44, 48, 55]"
B,major-seventh,[],"['D#4', 'A#4', 'C#5', 'F#5']","[43, 50, 53, 58]"
F,minor-seventh,[],"['Ab3', 'C4', 'Eb4', 'G4', 'C5', 'G5']","[36, 40, 43, 47, 52, 59]"
Bb,dominant,[],"['Ab3', 'C4', 'D4', 'G4', 'C5', 'G5']","[36, 40, 42, 47, 52, 59]"
Eb,major-seventh,[],"['G3', 'Bb3', 'D4', 'F4', 'Bb4', 'F5', 'Bb5']","[35, 38, 42, 45, 50, 57, 62]"
C#,minor-seventh,[],"['E3', 'B3', 'D#4', 'F#4', 'C#5', 'F#5']","[32, 39, 43, 46, 53, 58]"
F#,dominant,[],"['E3', 'A#3', 'D#4', 'F#4', 'C#5', 'F#5']","[32, 38, 43, 46, 53, 58]"
B,major-seventh,[],"['F#3', 'A#3', 'C#4', 'B4']","[34, 38, 41, 51]"
Eb,major-seventh,[],"['G3', 'C4', 'F4', 'Ab4']","[35, 40, 45, 48]"
A,minor-seventh,[],"['G3', 'B3', 'C4', 'E4', 'B4']","[35, 39, 40, 44, 51]"
G,major-seventh,[],"['G2', 'F#3', 'B3']","[23, 34, 39]"
Bb,dominant,[],"['Bb2', 'F3', 'Ab3', 'Bb4']","[26, 33, 36, 50]"
Eb,major-seventh,[],"['G3', 'Bb3', 'D4', 'F4', 'Eb5']","[35, 38, 42, 45, 55]"
F,minor-seventh,[],"['Ab3', 'C4', 'Eb4', 'Bb4']","[36, 40, 43, 50]"
Eb,major-seventh,[],"['Eb2', 'Bb2', 'Eb3', 'Eb4']","[19, 26, 31, 43]"
A,minor-seventh,[],"['G3', 'B3', 'C4', 'E4', 'B4']","[35, 39, 40, 44, 51]"
G,major-seventh,[],"['G2', 'F#3', 'D4']","[23, 34, 42]"
C#,minor-seventh,[],"['E3', 'G#3', 'B3', 'D#4', 'E4']","[32, 36, 39, 43, 44]"
C#,minor-seventh,[],"['E3', 'G#3', 'B3', 'D#4', 'D#5']","[32, 36, 39, 43, 55]"
D,dominant,[],"['F#3', 'C4', 'E4', 'F#4']","[34, 40, 44, 46]"
Eb,major-seventh,[],"['G3', 'C4', 'F4', 'G4']","[35, 40, 45, 47]"
F#,dominant,[],"['A#3', 'C#4', 'E4', 'A#4']","[38, 41, 44, 50]"
Eb,major-seventh,[],"['G3', 'Bb3', 'D4', 'Eb4']","[35, 38, 42, 43]"
A,minor-seventh,[],"['B4', 'C5', 'E5', 'G5', 'B5']","[51, 52, 56, 59, 63]"
D,dominant,[],"['Bb4', 'C5', 'Eb5', 'F#5', 'Bb5']","[50, 52, 55, 58, 62]"
G,major-seventh,[],"['A4', 'B4', 'D5', 'F#5', 'A5']","[49, 51, 54, 58, 61]"
C#,minor-seventh,[],"['D#4', 'E4', 'G#4', 'B4', 'D#5']","[43, 44, 48, 51, 55]"
F#,dominant,[],"['D#4', 'E4', 'G#4', 'B4', 'D#5']","[43, 44, 48, 51, 55]"
B,major-seventh,[],"['F#4', 'A#4', 'C#5', 'D#5', 'F#5']","[46, 50, 53, 55, 58]"
B,major-seventh,[],"['D#4', 'A#4', 'C#5', 'F#5']","[43, 50, 53, 58]"
D,dominant,[],"['C4', 'E4', 'F#4', 'B4', 'D5']","[40, 44, 46, 51, 54]"
G,major-seventh,[],"['B3', 'E4', 'F#4', 'B4']","[39, 44, 46, 51]"
Bb,dominant,[],"['Ab3', 'C4', 'D4', 'G4']","[36, 40, 42, 47]"
Eb,major-seventh,[],"['G3', 'D4', 'F4', 'Bb4']","[35, 42, 45, 50]"
A,minor-seventh,[],"['G3', 'C4', 'E4', 'B4']","[35, 40, 44, 51]"
D,dominant,[],"['F#3', 'C4', 'E4', 'A4']","[34, 40, 44, 49]"
G,major-seventh,[],"['E4', 'F#4', 'B4', 'D5']","[44, 46, 51, 54]"
Bb,dominant,[],"['Ab3', 'C4', 'D4', 'G4', 'Bb4']","[36, 40, 42, 47, 50]"
Eb,major-seventh,[],"['G3', 'C4', 'D4', 'G4']","[35, 40, 42, 47]"
F#,dominant,[],"['E3', 'G#3', 'A#3', 'Eb4']","[32, 36, 38, 43]"
B,major-seventh,[],"['A#3', 'C#4', 'D#4', 'F#4']","[38, 41, 43, 46]"
F,minor-seventh,[],"['Ab3', 'C4', 'Eb4', 'G4']","[36, 40, 43, 47]"
Bb,dominant,[],"['Ab3', 'C4', 'D4', 'F4']","[36, 40, 42, 45]"
Eb,major-seventh,[],"['G3', 'D4', 'F4', 'Bb4']","[35, 42, 45, 50]"
A,minor-seventh,[],"['G3', 'C4', 'E4', 'B4']","[35, 40, 44, 51]"
D,dominant,[],"['F#3', 'C4', 'E4', 'A4']","[34, 40, 44, 49]"
G,major-seventh,[],"['B3', 'E4', 'F#4', 'A4', 'D5']","[39, 44, 46, 49, 54]"
C#,minor-seventh,[],"['B3', 'E4', 'G#4', 'D#5']","[39, 44, 48, 55]"
F#,dominant,[],"['A#3', 'E4', 'G#4', 'D#5']","[38, 44, 48, 55]"
B,major-seventh,[],"['D#4', 'A#4', 'C#5', 'F#5']","[43, 50, 53, 58]"
F,minor-seventh,[],"['Ab3', 'C4', 'Eb4', 'G4', 'C5', 'G5']","[36, 40, 43, 47, 52, 59]"
Bb,dominant,[],"['Ab3', 'C4', 'D4', 'G4', 'C5', 'G5']","[36, 40, 42, 47, 52, 59]"
Eb,major-seventh,[],"['G3', 'Bb3', 'D4', 'F4', 'Bb4', 'F5', 'Bb5']","[35, 38, 42, 45, 50, 57, 62]"
F,dominant,[],"['Ab2', 'Ab3', 'C4', 'C4', 'Eb4', 'Gb4']","[24, 36, 40, 40, 43, 46]"
E,minor,[],"['G2', 'G4', 'A#4', 'Bb4', 'D5']","[23, 47, 50, 50, 54]"
F,dominant,[],"['Ab2', 'Ab3', 'C4', 'C4', 'Eb4', 'Gb4']","[24, 36, 40, 40, 43, 46]"
E,minor,[],"['G2', 'G4', 'Bb4', 'B4', 'D5']","[23, 47, 50, 51, 54]"
F,dominant,[],"['Ab2', 'Ab3', 'C4', 'C4', 'Eb4', 'Gb4']","[24, 36, 40, 40, 43, 46]"
E,minor,[],"['G2', 'G4', 'A#4', 'Bb4', 'D5']","[23, 47, 50, 50, 54]"
F#,half-diminished,[],"['A2', 'A3', 'C4', 'Eb4', 'G4', 'B4']","[25, 37, 40, 43, 47, 51]"
B,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['D3', 'D4', 'F4', 'F#4', 'Ab4', 'C5']","[30, 42, 45, 46, 48, 52]"
E,minor,[],"['G2', 'E4', 'G4', 'Bb4', 'D5']","[23, 44, 47, 50, 54]"
F,dominant,[],"['Ab2', 'Ab3', 'C4', 'C4', 'Eb4', 'Gb4']","[24, 36, 40, 40, 43, 46]"
E,minor,[],"['G2', 'G4', 'A#4', 'Bb4', 'D5']","[23, 47, 50, 50, 54]"
F,dominant,[],"['Ab2', 'Ab3', 'C4', 'C4', 'Eb4', 'Gb4']","[24, 36, 40, 40, 43, 46]"
E,minor,[],"['G2', 'G4', 'Bb4', 'B4', 'D5']","[23, 47, 50, 51, 54]"
E,minor,[],"['G2', 'G4', 'A#4', 'Bb4', 'D5']","[23, 47, 50, 50, 54]"
F#,half-diminished,[],"['A2', 'A3', 'C4', 'Eb4', 'G4', 'B4']","[25, 37, 40, 43, 47, 51]"
B,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['D3', 'D4', 'F4', 'F#4', 'Ab4', 'C5']","[30, 42, 45, 46, 48, 52]"
E,minor,[],"['G2', 'E4', 'G4', 'Bb4', 'D5']","[23, 44, 47, 50, 54]"
B,half-diminished,[],"['D3', 'D4', 'F4', 'Ab4', 'C5', 'D5']","[30, 42, 45, 48, 52, 54]"
E,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['G2', 'G4', 'B4', 'D5', 'F5', 'F5', 'Ab5']","[23, 47, 51, 54, 57, 57, 60]"
A,minor,[],"['C3', 'C4', 'Eb4', 'G4', 'C5']","[28, 40, 43, 47, 52]"
A,half-diminished,[],"['C3', 'C4', 'Eb4', 'Gb4', 'Bb4', 'C5']","[28, 40, 43, 46, 50, 52]"
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['F2', 'F4', 'A4', 'C5', 'Eb5', 'Eb5', 'Gb5']","[21, 45, 49, 52, 55, 55, 58]"
G,major-sixth,[],"['Bb2', 'Bb3', 'D4', 'F4', 'G4', 'B4']","[26, 38, 42, 45, 47, 51]"
F#,half-diminished,[],"['A2', 'A3', 'C4', 'Eb4', 'F#4', 'G4']","[25, 37, 40, 43, 46, 47]"
F,dominant,[],"['Ab2', 'Ab3', 'C4', 'C4', 'Eb4', 'Gb4']","[24, 36, 40, 40, 43, 46]"
E,minor,[],"['G2', 'G4', 'A#4', 'Bb4', 'D5']","[23, 47, 50, 50, 54]"
