root,type,extensions,notes,note_numbers
E,dominant-ninth,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['E3', 'D4', 'F#4', 'Bb4']","[32, 42, 46, 50]"
Bb,dominant,[],"['Bb2', 'Ab3', 'Bb3', 'D4', 'G4']","[26, 36, 38, 42, 47]"
Eb,major-seventh,[],"['Eb2', 'Bb3', 'D4', 'F4']","[19, 38, 42, 45]"
Ab,minor-seventh,[],"['Ab1', 'Gb3', 'B3']","[12, 34, 39]"
Bb,major,[],"['D2', 'C4', 'F4']","[18, 40, 45]"
Bb,dominant,[],"['A2', 'D4', 'G4']","[25, 42, 47]"
Eb,dominant-ninth,[],"['Eb4', 'G4', 'Bb4']","[43, 47, 50]"
D,minor-seventh,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","['D3', 'C4', 'F4', 'Bb4']","[30, 40, 45, 50]"
C,minor-seventh,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","['C3', 'Bb3', 'F4', 'Bb4']","[28, 38, 45, 50]"
F,dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","['D4', 'B4', 'G5']","[42, 51, 59]"
Eb,major-seventh,[],"['C4', 'F4', 'Bb4']","[40, 45, 50]"
D,minor-seventh,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","['A3', 'D4', 'Bb4']","[37, 42, 50]"
G,minor-seventh,[],"['G2', 'E3', 'D4', 'G4', 'Bb4']","[23, 32, 42, 47, 50]"
G,minor-13th,[],"['E3', 'Bb3', 'C4', 'D5', 'A5']","[32, 38, 40, 54, 61]"
G,minor-seventh,[],"['D3', 'C4', 'F4', 'Bb4']","[30, 40, 45, 50]"
G,minor-ninth,[],"['G2', 'D3', 'D4', 'A4', 'Bb4']","[23, 30, 42, 49, 50]"
C,minor-seventh,[],"['G2', 'Eb3', 'Eb4', 'G4', 'Bb4', 'Bb4']","[23, 31, 43, 47, 50, 50]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F2', 'G3', 'Bb3', 'C4']","[21, 35, 38, 40]"
F,dominant,[],"['Eb3', 'C4', 'C4', 'Eb4', 'F4']","[31, 40, 40, 43, 45]"
Bb,major-seventh,[],"['Bb2', 'D4', 'F4', 'A4', 'C5']","[26, 42, 45, 49, 52]"
Bb,major,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","['Ab3', 'C4', 'Eb4', 'F4', 'G4', 'Bb4', 'C5', 'D5']","[36, 40, 43, 45, 47, 50, 52, 54]"
E,dominant-13th,[],"['E2', 'D3', 'D4', 'F#4', 'B4']","[20, 30, 42, 46, 51]"
Eb,major-seventh,[],"['Eb2', 'Eb4', 'G4', 'C5']","[19, 43, 47, 52]"
Ab,dominant-ninth,[],"['Gb3', 'F4', 'Gb4', 'Bb4']","[34, 45, 46, 50]"
F,suspended-fourth,[],"['F3', 'Gb4', 'B4', 'Eb5']","[33, 46, 51, 55]"
C,dominant,[],"['E3', 'D4', 'G4', 'Bb4']","[32, 42, 47, 50]"
F,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['F2', 'Eb4', 'Gb4', 'Bb4']","[21, 43, 46, 50]"
Bb,major-seventh,[],"['Bb2', 'A3', 'D4', 'F4', 'A4']","[26, 37, 42, 45, 49]"
G,dominant,[],"['E3', 'G3', 'Bb3']","[32, 35, 38]"
Eb,diminished,[],"['E3', 'G3', 'Bb3']","[32, 35, 38]"
Cb,major,[],"['F2', 'Gb3', 'Cb4', 'Eb4']","[21, 34, 39, 43]"
Bb,major,[],"['F1', 'F3', 'Bb3', 'D4']","[9, 33, 38, 42]"
Ab,major,[],"['F2', 'Eb3', 'Ab3', 'C4']","[21, 31, 36, 40]"
Cb,major,[],"['F2', 'Gb3', 'Cb4', 'Eb4']","[21, 34, 39, 43]"
Bb,major,[],"['F2', 'F3', 'Bb3', 'D4']","[21, 33, 38, 42]"
Gb,major,[],"['F2', 'Db3', 'Gb3', 'Bb3']","[21, 29, 34, 38]"
Eb,major,[],"['F2', 'Eb3', 'G3', 'Bb3']","[21, 31, 35, 38]"
Bb,major-seventh,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['Bb1', 'F2', 'F3', 'A3', 'D4']","[14, 21, 33, 37, 42]"
Db,dominant,[],"['F3', 'Cb4', 'F4', 'Ab4']","[33, 39, 45, 48]"
Db,dominant,[],"['F3', 'Cb4', 'F4', 'Ab4']","[33, 39, 45, 48]"
Ab,major,[],"['C3', 'F3', 'Bb3', 'Eb4']","[28, 33, 38, 43]"
Db,dominant,[],"['Bb3', 'Eb4', 'Ab4', 'Db5']","[38, 43, 48, 53]"
Ab,major,[],"['G3', 'C4', 'F4', 'Bb4']","[35, 40, 45, 50]"
Gb,dominant,[],"['F3', 'Bb3', 'Eb4', 'G4']","[33, 38, 43, 47]"
Ab,major,[],"['F3', 'Bb3', 'Eb4', 'Ab4']","[33, 38, 43, 48]"
E,dominant,[],"['C4', 'F#4', 'B4', 'Eb5']","[40, 46, 51, 55]"
B,dominant,[],"['C4', 'F#4', 'B4', 'Eb5']","[40, 46, 51, 55]"
Db,dominant,[],"['Bb3', 'Eb4', 'Ab4', 'Db5']","[38, 43, 48, 53]"
D,dominant,[],"['C4', 'F4', 'Bb4', 'Eb5']","[40, 45, 50, 55]"
Eb,dominant,[],"['Bb3', 'Eb4', 'Ab4', 'Db5']","[38, 43, 48, 53]"
C,none,[],"['Bb3', 'Eb4', 'Ab4', 'Db5']","[38, 43, 48, 53]"
Db,dominant,[],"['Bb3', 'Eb4', 'Ab4', 'Db5']","[38, 43, 48, 53]"
Ab,major,[],"['C4', 'F4', 'Bb4', 'Eb5']","[40, 45, 50, 55]"
Db,dominant,[],"['F3', 'Cb4', 'Eb4', 'Ab4']","[33, 39, 43, 48]"
Ab,major,[],"['Bb3', 'Eb4', 'Ab4', 'Eb5']","[38, 43, 48, 55]"
Gb,dominant,[],"['F4', 'Ab4', 'Eb5', 'G5']","[45, 48, 55, 59]"
Ab,major,[],"['F4', 'Bb4', 'Eb5', 'Ab5']","[45, 50, 55, 60]"
E,dominant,[],"['Db4', 'F#4', 'B4', 'E5']","[41, 46, 51, 56]"
B,dominant,[],"['C4', 'F#4', 'B4', 'Eb5']","[40, 46, 51, 55]"
Db,dominant,[],"['Bb3', 'Eb4', 'Ab4', 'Db5']","[38, 43, 48, 53]"
D,dominant,[],"['B3', 'E4', 'A4', 'D5']","[39, 44, 49, 54]"
