label,notes
minor-seventh,"[28, 31, 35, 45, 50, 54]"
major-seventh,"[28, 35, 39, 42, 44, 47]"
dominant,"[28, 38, 42, 44, 49]"
minor-seventh,"[28, 31, 35, 38, 42, 45]"
major-seventh,"[28, 35, 42, 44, 47, 51]"
dominant,"[28, 32, 37, 40, 42]"
minor-seventh,"[28, 35, 43, 45, 50, 54]"
major-seventh,"[28, 39, 47, 51, 54]"
dominant,"[28, 32, 35, 38, 42, 44]"
minor-seventh,"[28, 35, 38, 42, 43, 45]"
major-seventh,"[28, 32, 35, 39, 42, 44]"
dominant,"[28, 35, 38, 42, 44, 47]"
minor-seventh,"[28, 42, 43, 47, 50]"
major-seventh,"[28, 35, 42, 44, 47, 51]"
dominant,"[28, 38, 49, 54, 56]"
major-seventh,"[16, 30, 35, 39, 44, 47]"
dominant,"[28, 38, 42, 47, 50, 56]"
major-seventh,"[28, 39, 51, 52, 56, 59]"
dominant,"[28, 38, 44, 47, 50, 52]"
minor-seventh,"[28, 35, 42, 43, 47, 50]"
major-seventh,"[28, 35, 42, 47, 51, 56]"
dominant,"[28, 35, 38, 40, 44, 49]"
major-seventh,"[28, 39, 44, 47, 51, 56]"
dominant,"[40, 44, 47, 49, 52, 56]"
major-seventh,"[28, 35, 39, 42, 42, 44, 47]"
dominant,"[30, 32, 37, 40, 47]"
minor-seventh,"[33, 38, 42, 59]"
major-seventh,"[27, 30, 32, 35, 56]"
dominant,"[18, 20, 25, 44]"
minor-seventh,"[23, 26, 30, 33, 55]"
major-seventh,"[18, 20, 23, 27, 32]"
dominant,"[25, 28, 30, 42]"
minor-seventh,"[31, 33, 38, 42, 55]"
major-seventh,"[23, 27, 30, 40]"
dominant,"[35, 38, 42, 44, 59]"
minor-seventh,"[26, 30, 31, 33, 52]"
major-seventh,"[35, 39, 42, 44, 68]"
dominant,"[26, 30, 32, 35, 56]"
minor-seventh,"[30, 31, 35, 38, 57]"
major-seventh,"[18, 20, 23, 27]"
dominant,"[25, 30, 32, 47]"
major-seventh,"[35, 39, 44, 47, 71]"
dominant,"[18, 23, 26, 32]"
major-seventh,"[27, 28, 32, 35, 52]"
dominant,"[32, 35, 38, 40, 50]"
minor-seventh,"[30, 31, 35, 38, 49, 52]"
major-seventh,"[30, 35, 39, 44, 51]"
dominant,"[26, 28, 32, 37, 44]"
major-seventh,"[32, 35, 39, 44, 52]"
dominant,"[32, 37, 40, 44, 49]"
major-seventh,"[27, 30, 32, 35, 45]"
dominant,"[30, 32, 37, 40, 47]"
minor-seventh,"[33, 38, 42, 59]"
major-seventh,"[27, 30, 32, 35, 63]"
dominant,"[18, 20, 25, 61]"
minor-seventh,"[23, 26, 30, 33, 71]"
major-seventh,"[18, 20, 23, 27, 44]"
dominant,"[25, 28, 30, 46]"
minor-seventh,"[31, 33, 38, 42, 59]"
major-seventh,"[23, 27, 30, 49]"
dominant,"[35, 38, 42, 44, 62]"
minor-seventh,"[26, 30, 31, 33, 62]"
major-seventh,"[35, 39, 42, 44, 66]"
dominant,"[26, 30, 32, 35, 68]"
minor-seventh,"[30, 31, 35, 38, 66]"
major-seventh,"[18, 20, 23, 27, 44]"
dominant,"[25, 30, 32, 59]"
major-seventh,"[35, 39, 44, 47]"
dominant,"[18, 23, 26, 32, 56]"
major-seventh,"[27, 28, 32, 35, 59]"
dominant,"[32, 35, 38, 40]"
minor-seventh,"[30, 31, 35, 38, 59]"
major-seventh,"[30, 35, 39, 44, 73]"
dominant,"[26, 28, 32, 37, 62]"
major-seventh,"[32, 35, 39, 44, 62]"
dominant,"[32, 37, 40, 40, 44]"
major-seventh,"[27, 30, 32, 35, 44]"
major,"[35, 39, 40, 44]"
dominant,"[24, 38, 43, 44, 48]"
dominant,"[23, 44, 47, 49, 54]"
dominant,"[21, 44, 49, 50, 54]"
dominant,"[34, 37, 38, 42]"
dominant,"[32, 37, 38, 42]"
minor-ninth,"[27, 55, 59, 62, 66]"
dominant-13th,"[28, 38, 41, 44, 49]"
major,"[20, 44, 47, 51, 54]"
minor-seventh,"[35, 55, 59, 62, 66]"
dominant,"[30, 44, 47, 50, 54]"
major,"[30, 44, 47, 51, 54]"
minor-seventh,"[28, 38, 42, 43, 47]"
dominant,"[32, 37, 38, 42]"
major,"[20, 30, 32, 35, 39]"
dominant,"[33, 44, 47, 50, 53]"
dominant,"[23, 32, 36, 38, 41]"
dominant-13th,"[27, 38, 44, 46, 49]"
minor-seventh,"[21, 30, 31, 35, 38]"
dominant,"[33, 50, 53, 56, 58]"
major,"[32, 35, 39, 42]"
dominant,"[24, 38, 43, 44, 48]"
dominant-13th,"[23, 44, 49, 50, 54]"
dominant-13th,"[21, 44, 49, 50, 54]"
minor-11th,"[26, 52, 57, 58, 62]"
dominant,"[28, 50, 55, 56, 60]"
minor,"[28, 55, 59, 61, 66]"
dominant,"[32, 36, 38, 43]"
dominant,"[32, 36, 38, 43]"
minor,"[28, 50, 54, 55, 61]"
minor,"[23, 38, 42, 43, 49]"
half-diminished,"[24, 38, 40, 43, 46]"
dominant,"[31, 44, 46, 48, 52]"
minor,"[33, 49, 54, 55, 59]"
dominant,"[20, 44, 49, 50, 54]"
diminished-seventh,"[25, 43, 46, 49, 52]"
minor-seventh,"[32, 43, 47, 50]"
dominant,"[33, 53, 56, 59, 62]"
minor-seventh,"[21, 43, 47, 50, 54]"
dominant,"[25, 38, 41, 44, 48]"
major,"[28, 47, 51, 54, 56]"
major,"[28, 30, 32, 35, 47]"
major,"[28, 35, 42, 44, 47]"
minor-seventh,"[28, 35, 38, 43, 47, 50]"
minor-sixth,"[28, 35, 37, 43, 47]"
major-seventh,"[28, 35, 40, 44, 51]"
dominant-ninth,"[29, 32, 34, 43, 48]"
major,"[28, 35, 42, 44, 54]"
minor-seventh,"[28, 35, 38, 43, 47, 50]"
minor-sixth,"[28, 35, 37, 47]"
minor-seventh,"[28, 35, 42, 54, 59]"
dominant-ninth,"[29, 32, 34, 38, 55]"
major,"[28, 35, 42, 44, 54]"
minor-seventh,"[28, 35, 38, 43, 47, 50]"
minor-sixth,"[28, 35, 37, 43, 47]"
major,"[27, 28, 32, 35, 39]"
dominant,"[26, 32, 36]"
minor-seventh,"[38, 40, 43, 47]"
dominant,"[26, 30, 32, 34, 37]"
dominant,"[23, 26, 32, 35]"
minor-seventh,"[26, 28, 31, 35, 38]"
dominant,"[32, 35, 38, 40, 44]"
major,"[23, 28, 32, 35]"
minor-seventh,"[23, 26, 28, 31, 35]"
minor-seventh,"[23, 26, 30, 31, 35]"
minor-seventh,"[28, 38, 43, 52]"
minor-seventh,"[28, 35, 38, 43]"
dominant,"[28, 32, 38, 42, 46]"
dominant,"[28, 32, 38, 42, 48]"
dominant,"[28, 32, 38, 42, 46]"
dominant-13th,"[28, 32, 38, 41, 49]"
major,"[32, 35, 37, 40]"
minor-seventh,"[28, 31, 38, 43]"
dominant,"[28, 32, 38, 44]"
major,"[30, 32, 35, 39]"
dominant-13th,"[26, 32, 37, 46]"
major-sixth,"[32, 37, 42, 47]"
minor-seventh,"[38, 43, 50, 54, 59]"
dominant-13th,"[26, 30, 32, 37, 42, 49]"
dominant,"[26, 32, 47]"
minor-seventh,"[23, 31, 38, 43, 50]"
dominant,"[32, 40, 44]"
major,"[32, 44, 47]"
minor-seventh,"[28, 43, 47, 55, 59]"
minor-seventh,"[28, 43, 47, 55, 59]"
minor-seventh,"[31, 38, 55]"
dominant,"[32, 38, 42, 56]"
dominant,"[38, 44, 52]"
dominant,"[38, 44, 49, 52]"
